Date,General_Area,Crescent_City,Trinidad,Eureka,Ft_Bragg,Bodega_Bay,Half_Moon_Bay
11/3/04,Northern,NA,NA,NA,NA,NA,NA
11/1/05,Northern,19.8,22.6,23.1,23.8,NA,NA
11/17/05,Northern,22.8,23.8,26.8,25.1,NA,NA
12/7/05,Northern,24.3,26.6,28.5,26.4,NA,NA
10/28/06,Northern,25.2,20.8,21.5,23.4,NA,NA
11/10/06,Northern,27.7,25.2,23,NA,NA,NA
10/28/07,Northern,24.6,26.8,23.1,28.7,NA,NA
11/14/07,Northern,NA,25.6,NA,NA,NA,NA
10/29/08,Northern,29.3,29.3,29.2,NA,NA,NA
10/29/09,Northern,24.2,21.2,21.5,29,NA,NA
11/12/09,Northern,26.1,23.8,24.1,NA,NA,NA
11/6/10,Northern,23.8,20.2,21,NA,NA,NA
11/20/10,Northern,25.2,23,22.4,NA,NA,NA
10/25/11,Northern,14.9,15.4,13.8,NA,NA,NA
10/26/11,Central,NA,NA,NA,NA,20.5,NA
11/8/11,Northern,19.5,17.8,17.6,NA,NA,NA
11/9/11,Northern,NA,NA,NA,23.7,NA,NA
11/16/11,Central,NA,NA,NA,NA,23.7,25
12/7/11,Northern,22.1,19.3,20.7,24.3,NA,NA
10/24/12,Northern,15.5,16.5,15.5,18.4,,
10/25/12,Central,,,,,23.6,22.6
11/6/12,Northern,16.1,NA,16.7,NA,NA,NA
12/6/12,Northern,22.1,22.1,22.7,NA,NA,NA
10/28/13,Northern,,,23.2,25.8,,
10/29/13,Northern,24.5,,,,,
11/1/13,Central,,,,,24.6,
11/6/13,Central,,,,,,24.4
11/9/13,Northern,,25.3,24.4,,,
11/22/13,Northern,,26.4,,,,
11/12/14,Northern,27.5,,28.7,NA,NA,NA
11/12/14,Northern,NA,24,NA,NA,NA,NA
11/12/14,Northern,NA,NA,NA,29.1,NA,NA
11/12/14,Central,NA,NA,NA,NA,25.2,NA
11/1/16,Northern,29,26.3,,NA,,
11/1/16,Central,NA,NA,NA,NA,25.6,
11/2/16,Northern,NA,NA,25.4,NA,,
10/31/17,Central,NA,NA,NA,NA,25.2,NA
11/6/17,Northern,16.7,14.6,16.1,NA,NA,NA
12/5/17,Northern,21.4,18.9,19.7,NA,NA,NA
12/19/17,Northern,21.7,20.6,19.8,NA,NA,NA
