PORT,"SAMPLE COLLECTION DATE(S)(Dungeness crab unless otherwisespecified)","NUMBEROFSAMPLES","RESULTS - RANGE(FDA ACTION LEVEL30 PPM)","AVERAGE LEVEL(FDA ACTIONLEVEL - 30 PPM)","PERCENT OFSAMPLES EXCEEDINGACTION LEVEL"
Crescent City,9/23/15,6,<2.5-120 ppm,37 ppm,66%
"",10/26/15,12,14-140 ppm,67 ppm,83%
"",11/18/15,9,<2.5-91 ppm,40 ppm,44%
"",12/1/15,10,10-69 ppm,34 ppm,40%
"",12/16/15,9,9.8-39 ppm,22.7 ppm,22%
"",12/30/15 (Crescent City North),6,8.6-25 ppm,17 ppm,0%
"",12/30/15 (Crescent City South),6,15-31 ppm,23 ppm,17%
"",1/10/16 (Crescent City North),6,4.9-49 ppm,22 ppm,17%
"",1/10/16 (Crescent City South),6,12-59 ppm,32 ppm,33%
"",1/24/16 (Crescent City South),6,16-35 ppm,24 ppm,33%
"",1/24/16 (Crescent City North),6,4.9-25 ppm,14 ppm,0%
"",2/1/16 (Crescent City South),6,<2.5-17 ppm,10 ppm,0%
"",2/1/16 (Crescent City North),6,<2.5-21 ppm,8 ppm,0%
"",2/7/16 (Crescent City South),6,3.9-14 ppm,9 ppm,0%
Trinidad,9/11/2015 (Trinidad South),6,23-140 ppm,95 ppm,83%
"",10/26/15,8,39-97 ppm,66 ppm,100%
"",11/17/15,15,17-65 ppm,36 ppm,60%
"",12/16/15,6,8.4-37 ppm,17.5 ppm,17%
"",12/26/15 (Trinidad North),6,<2.5-49 ppm,20.2 ppm,17%
"",12/26/15 (Trinidad South),6,7.4-38 ppm,19.4 ppm,17%
"",1/23/16 (Trinidad North),6,<2.5-31 ppm,13 ppm,17%
"",1/23/16 (Trinidad South),6,8.5-29 ppm,17 ppm,0%
"",2/2/16 (Trinidad North),6,15-48 ppm,28 ppm,33%
"",2/2/16 (Trinidad South),6,4.9-25 ppm,16 ppm,0%
"",2/11/16 (Trinidad North),6,6.8-34 ppm,24 ppm,50%
"",2/11/16 (Trinidad South),6,8.5-36 ppm,21 ppm,33%
"",2/20/16 (Trinidad North),6,7-25 ppm,15 ppm,0%
"",2/20/16 (Trinidad South),6,9.9-30 ppm,17 ppm,17%
"",2/29/16 (Trinidad North),6,2.8-82 ppm,30 ppm,33%
"",2/29/16 (Trinidad South),6,<2.5-56 ppm,24 ppm,33%
"",3/17/16 (Trinidad North),6,6.4-35 ppm,16 ppm,17%
"",3/17/16 (Trinidad South),6,<2.5-41 ppm,14 ppm,17%
"",3/24/16 (Trinidad North),6,2.8-28 ppm,11 ppm,0%
"",3/24/16 (Trinidad South),6,7.9-40 ppm,17 ppm,17%
"",4/1/16 (Trinidad North),6,6.4-27 ppm,13 ppm,0%
"",4/1/16 (Trinidad South),6,5.8-16 ppm,10 ppm,0%
"",4/9/16 (Trinidad South),6,5.6 - 58 ppm,16 ppm,17%
"",4/18/16 (Trinidad South),6,2.9-20 ppm,11 ppm,0%
"",4/24/16 (Trinidad South),6,7.9-54 ppm,20 ppm,17%
"",5/1/16 (Trinidad South),6,9.9-25 ppm,18 ppm,0%
"",5/8/16 (Trinidad South),6,6.1-38 ppm,16 ppm,17%
"",5/15/16 (Trinidad South),6,<2.5-14 ppm,6 ppm,0%
Eureka,09/15/15,6,30-120 ppm,76 ppm,100%
10/27/15,12,37-140 ppm,67 ppm,100%,
11/23/15 (Samoa),6,13-53 ppm,36.5 ppm,83%,
11/23/15 (Eel River),6,13-59 ppm,34.6 ppm,50%,
12/16/15 (Eel River),6,29-54 ppm,38.2 ppm,50%,
12/16/15 (Samoa),6,12-63 ppm,24.7 ppm,17%,
12/30/15 (Eel River),6,16-40 ppm,31 ppm,67%,
12/30/15 (Samoa),6,3.7-33 ppm,17.8 ppm,17%,
1/21/16 (Eel River),6,13-29 ppm,22.2 ppm,0%,
1/21/16 (Samoa),6,<2.5-12 ppm,7.9 ppm,0%,
2/2/16 (Samoa),6,8.7-27 ppm,14 ppm,0%,
2/2/16 (Eel River),6,15-27 ppm,21 ppm,0%,
4/24/16 (Rock Crab-Humboldt Bay),6,<2.5-71 ppm,12 ppm,17%,
Fort Bragg,10/30/15,6,<2.5-15 ppm,6.5 ppm,0%,
"",11/22/15,6,46-270 ppm,118 ppm,100%,
"",11/23/2015 (Usal),6,20-150 ppm,61.5 ppm,66%,
12/16/2015 (Usal),6,8.2-37 ppm,20.2 ppm,17%,,
"",12/27/15 (Pt. Arena/Manchester),6,15-39 ppm,26.8 ppm,33%,
"",12/30/15 (Usal),6,7.8-64 ppm,28 ppm,33%,
"",1/25/16 (Usal),6,13-81 ppm,45 ppm,67%,
"",1/26/16 (Pt. Arena/Manchester),6,4.7-57 ppm,28.6 ppm,50%,
"",2/2/16 (Usal),6,11-41 ppm,27 ppm,50%,
2/10/16 (Usal),6,9.6-71 ppm,30 ppm,33%,,
"",2/10/16 (Pt. Arena/Manchester),6,9.4-93 ppm,35 ppm,33%,
"",2/16/16 (Usal),6,7.7-83 ppm,31 ppm,33%,
"",2/21/16 (Pt. Arena/Manchester),6,8-85 ppm,33 ppm,50%,
2/23/16 (Usal),6,12-55 ppm,29 ppm,50%,,
"",3/17/16 (Pt. Arena/Manchester),6,9.4-28 ppm,17 ppm,0%,
"",3/18/16 (Usal),6,8.9-25 ppm,19 ppm,0%,
"",3/26/16 (Usal),6,3.6-39 ppm,18 ppm,33%,
