area,season,mean_est_thousands_mt,est_2.5%,est_97.5%
Central CA,1970,0.8668269414617644,0.6082965272279358,1.2551821185204501
Central CA,1971,0.6904203061977888,0.3320876747214545,1.2952442094072811
Central CA,1972,0.5041855413081633,0.1350110282315549,1.2076527069306833
Central CA,1973,0.42935689369556057,0.12128160688729547,1.0251996173691045
Central CA,1974,0.5966024005145869,0.21898695745716185,1.2512279334931855
Central CA,1975,0.457917412202806,0.1425525635069436,0.994418023259297
Central CA,1976,0.6646898973814367,0.2096118255645056,1.4948506817167766
Central CA,1977,0.5938454294362879,0.27080171916028195,1.1783843692508893
Central CA,1978,0.4361134109539595,0.2946747034346446,0.645556082307523
Central CA,1979,0.6295423922196254,0.3543305402565421,1.035268255741607
Central CA,1980,0.4766808434903304,0.28221324967486155,0.7808675215125572
Central CA,1981,0.5863103365284116,0.1362541267096652,1.3891978807301832
Central CA,1982,0.3725352541517016,0.08999741722006319,0.9183877762559133
Central CA,1983,0.43916060442460464,0.1796281633421592,0.8652177802307475
Central CA,1984,0.636359220657888,0.32040388022085053,1.0372609153829437
Central CA,1985,0.4918749508711717,0.22535996297778632,0.9010689820284996
Central CA,1986,0.3518487428710987,0.115894083255269,0.79605217995751
Central CA,1987,0.892551460699746,0.6887364598437893,1.1165699800263131
Central CA,1988,1.8636493061538557,1.6241784702085698,2.142111411918672
Central CA,1989,0.906306188157864,0.7154249453615423,1.1477747438830577
Central CA,1990,0.5849725897958349,0.33010799919827466,0.9601929357849783
Central CA,1991,0.8886911449824375,0.5872885093862709,1.2907546818900408
Central CA,1992,0.7902971957671511,0.46602144818797464,1.1885788008770046
Central CA,1993,0.44728984000220223,0.14631609781477342,0.957112449315409
Central CA,1994,0.7050858146711471,0.38471662453190403,1.154367970777215
Central CA,1995,1.8323841758612018,1.5910739343288556,2.090256956711262
Central CA,1996,1.2287310293709046,1.0192267496189737,1.4675209815816164
Central CA,1997,0.9650476532423685,0.7915974126470622,1.1716934627203908
Central CA,1998,1.987008238300846,1.8159141953149673,2.1640437702756565
Central CA,1999,0.6554520467632369,0.5287900187474444,0.8133093559029426
Central CA,2000,0.556401945637223,0.3412372962084533,0.8987148992548191
Central CA,2001,1.3583840044831634,0.8989453080451885,2.0000910071799485
Central CA,2002,0.8706824148867,0.6990708310864155,1.0975679397991445
Central CA,2003,2.224093808246432,2.103871163344187,2.350081985925501
Central CA,2004,2.7302861278608606,2.5792065469867036,2.8791170673857636
Central CA,2005,3.1235212657355635,2.9784956112897873,3.2959251763145856
Central CA,2006,3.117842477774838,2.9609853728558977,3.275612103293711
Central CA,2007,3.060529002841884,2.8581905405991384,3.292816009362648
Central CA,2008,3.684565748519094,2.9551196069925125,4.612517741355539
Central CA,2009,1.0186006607934257,0.5691589698273987,1.7755483872326565
Central CA,2010,1.9781691710780398,1.7080111416870345,2.2530232700064494
Central CA,2011,10.178937732425869,10.008337856301381,10.345707904624582
Central CA,2012,8.290309186581915,8.10887332068776,8.472858517710426
Central CA,2013,4.209550844898282,3.9811363686946266,4.466688417839901
Central CA,2014,5.999776043692231,5.682346396162869,6.316768209116688
Central CA,2015,6.075944317182673,5.930111096330809,6.234877198817773
Central CA,2016,4.846709881446095,4.5833923814014375,5.120039333374779
North CA,1970,8.832262639928642,8.197573394049668,9.435164976230384
North CA,1971,4.485097963961538,4.098458217860232,4.879917742005316
North CA,1972,1.2141963791801573,0.521358562671455,2.9276895281447803
North CA,1973,1.192682135972898,0.5501788497524444,2.6719345945177633
North CA,1974,1.3822703684671693,0.3085851029359126,3.867104139217425
North CA,1975,1.1769541550250815,0.7052917876273656,2.033898165065135
North CA,1976,13.774382681650936,12.167787799020024,15.461673968694862
North CA,1977,NA,NA,NA
North CA,1978,6.945767548655535,6.521856008870479,7.369818297046381
North CA,1979,4.373962998989435,4.026874336729676,4.740131386930716
North CA,1980,7.178816503716181,6.762988520237197,7.605369812045943
North CA,1981,7.9224541273364615,6.917774542243422,9.145024084308817
North CA,1982,5.138679381062622,4.846677993323887,5.431060962354766
North CA,1983,2.2221699726632647,2.0460006025564867,2.3941872161698177
North CA,1984,2.244614499656423,2.0273741805538523,2.469286587591339
North CA,1985,2.168120680060459,1.9736943977973587,2.386812159238164
North CA,1986,2.6012393229625865,2.4124056408278096,2.803520723178478
North CA,1987,3.2170738661138616,3.0573994213273967,3.3789704619192182
North CA,1988,3.070727536096782,2.771861904142373,3.4163459271405126
North CA,1989,3.8879603722946023,3.6612065271148944,4.123563302744239
North CA,1990,1.8722419200981608,1.6549456579775434,2.1168984833639803
North CA,1991,5.189061780462475,4.989637046902551,5.4000251479994
North CA,1992,4.50403572829435,4.255670490733691,4.78668581833357
North CA,1993,4.801826020026942,4.543146008886637,5.0855561006684935
North CA,1994,2.5068868761644283,2.291120712261556,2.778852229664612
North CA,1995,4.8318155706790575,4.645410891188186,5.021607852180969
North CA,1996,7.318939260855637,6.998839650747583,7.658528119067667
North CA,1997,1.0907539051550403,0.9133645181422729,1.2896140144315744
North CA,1998,3.740662941393024,3.5833637340623246,3.9079895597610927
North CA,1999,4.201070869060521,4.040072190825305,4.362298779985117
North CA,2000,3.7218642007499763,3.5715370017705825,3.864782888080911
North CA,2001,1.8888736925891703,1.7602359013587972,2.0195210279724343
North CA,2002,0.996228981913376,0.8539733688555488,1.1655976768912368
North CA,2003,5.0129163143538715,4.829050114980523,5.1915417925731635
North CA,2004,8.622929586636747,8.372306276648661,8.855790110922714
North CA,2005,10.200994873129048,9.983074122791509,10.45030839039169
North CA,2006,9.837854681040755,9.594906332799567,10.100641371424446
North CA,2007,3.84718203213907,3.6604453988945456,4.029362405960845
North CA,2008,2.534351708347894,2.3657812682634085,2.7126930752206864
North CA,2009,2.497159226451677,2.337949247554863,2.668219208947769
North CA,2010,6.588942467633611,6.453105628010598,6.723698082561667
North CA,2011,4.018372496707778,3.854029181886727,4.172696024578815
North CA,2012,8.472814402370055,8.256705879552964,8.693943570858005
North CA,2013,8.158660727690917,7.962999784038326,8.356196157758157
North CA,2014,3.3620348723065905,3.1546342691746165,3.5774972114935917
North CA,2015,1.802082026972155,1.6331140463945475,2.0110237369751127
North CA,2016,1.7132934963869277,1.5099159355983456,1.945831663159817
